Titel;Untertitel;Author_id;Author;Pubikationsjahr;Schlagwort;Genre;Textausschnitt;Textausschnitt online kostenfrei verfügbar;Sprache
Vorsicht Krötenkuss!;;1;Bruce Coville;1992;Fiktion;Kinderbuch/Jugendliteratur;"„Nimm die da bloß weg”, befahl er und versuchte, den Deckel über den Karton zu ziehen. „Reg dich ab!"", rief jennifer. „Ich hab genug zu tun mit diesem ..."" Bevor sie den Satz beenden konnte, hatte sich Ponko aus ihrem Griff befreit, war zu Boden gefallen und direkt vor Sabrina gelandet. Er ging in Angriffsstellung. Frag-los war das für ihn nur eine ganz kurze Pause vor dem Angriff. Sabrina würde sich in Kürze in seinem Magen wiederfinden. Jennifer war schockiert. Es war eine Sache, seinen Gegner in eine Kröte zu verwandeln. Aber eine ganz an-dere Sache war es, diesen Gegner seiner eigenen Katze zum Fraß vorzuwerfen! Glücklicherweise wusste Sabrina, wie sie mit ihrem Haustier umgehen musste. „Böser Ponko!"", rief sie. „Böser Kater! Geh weg!"" Sabrinas Stimme aus etwas zu hören, das er gerade auffressen wollte, zeigte Wirkung auf Ponko. Er fauchte, plusterte seinen Schwanz auf und tappte verschreckt rückwärts. Jennifer hätte schwören können, dass er schielte. „Verdufte!"", brüllte Sabrina. Ponko jaulte auf und machte sich so schnell davon, als hätte sein Schwanz Feuer gefangen. Für einen kurzen Moment sagte keiner etwas. Nur ein leises Stöhnen war von der ohnmächtigen Ellen zu ver-nehmen, die auf dem Rasen neben dem Bürgersteig lag. ";nein;de
Vorsicht Krötenkuss!;;1;Bruce Coville;1992;Fiktion;Kinderbuch/Jugendliteratur;"„Wahrscheinlich hast du Recht, Ellen"", meinte Bufo schließlich. ""Dass die Frau aus dem Schönheitssalon wirklich eine Hexe ist?”, wolle Jennifer wissen. ""Ja."" ""Bufo, gibt es vielleicht etwas, das du uns sagen solltest?"", fragte Jennifer, der allmählich Angst und Bange wurde. Bufo schaute nervös umher. ""Bufo!"" ""Es kann sein, dass sie hinter mir her ist"", sagte Bufo. Im schnellen Wechsel blies er seinen Hals auf und lies die Luft wieder heraus. ""Warum?"" „Man kann eben nicht so lange leben wie ich, ohne sich den einen oder anderen zum Feind zu machen!"" ""Du schaffst es keine drei Tage, ohne dir jemanden zum Feind zu machen!"", erwiderte Sabrina. Jennifer fühlte sich hin- und hergerissen. Einerseits hatte sie den Wunsch, Sabrina den Mund zu verbieten, und andererseits Wollte sie ihr zustimmen. Etwa eine Stunde später hatte Jennifer ihren kleinen Bruder Brandon ins Bett gebracht und kam wieder in ihr Zimmer, Mittlerweile hockte Skin ihrem Zimmer auf dem Fußboden. Mitten auf seinem warzigen Gesicht lag ein breites Grinsen. „Ich hab's!"", sagte er triumphierend. ";nein;de
Vorsicht Krötenkuss!;;1;Bruce Coville;1992;Fiktion;Kinderbuch/Jugendliteratur;"Trotz ihres Bemühens war ein halb erstickter Schluchzer zu hören, sodass Frau Murdley zusammen-zuckte. „Was war das denn?"", fragte sie misstrauisch. ""Ich weiß nicht"", sagte Brandon. „Das war wahr-scheinlich Jennifer."" „Brandon!"", sagte Frau Murdley. „Ich möchte nicht, dass du diese Kröte mit dem Namen deiner Schwester ansprichst! Jetzt bringe sie bitte nach draußen oder setzte sie in das Terrarium, das Jennifer gebaut hat. Und sage Jennifer, dass ich mit ihr sprechen möchte."" „Darf ich zuerst meine Zucker-Popel aufessen?"" „Die heißen nicht so! Natürlich kannst du zuerst zu Ende frühstücken. Ich sollte wahrscheinlich sowieso nicht mit Jennifer reden, bevor ich eine Tasse Kaffee getrunken habe."" Frau Murdley schritt zur Arbeitsfläche und werkelte an der Kaffeemaschine herum. Währendessen drückte Jennifer ihren kurzen braunen Finger auf die Lippen und bedeutete Brandon so, den Mund zu halten. Er nickte, aß seine Cornflakes auf, schnappte Jennifer und verließ den Raum. „Brandon!"", rief ihm Frau Murdley noch hinterher. ',Sag Jennifer, dass ich sie gleich sprechen möchte."" „In Ordnung"", antwortete er und unterdrückte ein Kichern. Frau Murdley lehnte sich gegen den Küchenschrank und stöhnte. ";nein;de
Pippi Langstrumpf;;2;Astrid Lindgren;1987;Fiktion;Kinderbuch/Jugendliteratur;"Als nun alle ihre Geburtstagsgeschenke bekommen hatten, war es Zeit, zu Tisch zu gehen. Auf dem Tisch waren eine Menge Kuchen und Milchbrötchen. Die Kuchen hatten eine sehr merkwürdige Form, aber Pippi behauptete, in China gäbe es solche Kuchen. Pipi goss Schokolade mit Schlagsahne in die Tassen, und nun sollte man sich setzen. Aber da sagte Thomas:  ""Wenn Mama und Papa eine Gesellschaft haben, bekommen die Herren immer eine Karte, auf der steht, welche Dame sie zu Tisch führen sollen. Ich finde, das sollten wir auch machen."" „Meinetwegen"", sagte Pippi. „Obwohl es ja schlecht geht bei uns, weil ich doch der einzige Herr bin"", sagte Thomas unschlüssig. „Ach Unsinn"", sagte Pippi. „Glaubst du vielleicht, Herr Nilsson ist ein Fräulein?"" „Nein, natürlich nicht, ich hab ja Herrn Nilsson vergessen"", sagte Thomas. Und er setzte sich auf die Holzkiste und schrieb auf eine eine Karte: „Herr Settergren wird gebeten, Fräulein Langstrumpf zu Tisch zu führen."" „Herr Settergren, das bin ich"", sagte er zufrieden und zeigte Pippi die Karte. Dann schrieb er auf die andere Karte: „Herr Nilsson wird gebeten, Fräulein Settergren zu Tisch zu führen. „Ja, aber das Pferd muss auch eine Karte haben"", sagte Pippi bestimmt. „Auch wenn es nicht mit am Tisch sitzen kann."" Und Thomas schrieb nach Pippis Diktat auf die nächste „Das Pferd wird gebeten, in der Ecke stehen zu bleiben. Dann kriegt es Kuchen und Zucker."" ";ja;de
Pippi Langstrumpf;;2;Astrid Lindgren;1987;Fiktion;Kinderbuch/Jugendliteratur;"Wenn Thomas und Annika mit ihren Schularbeitenfertig waren, dann begann das Vergnügen. Wenn schönes Wetter war, spielten die Kinder im Garten, ritten ein bisschen auf dem Pferd oder stiegen auf das Dach der Mangelstube und tranken dort Kaffee. Oder sie kletterten auch auf die alte Eiche, die innen ganz hohl war, sodass man in den Stamm hinunterkriechen konnte. Pippi sagte, es sei ein sehr merkwürdiger Baum, denn es wuchs Limonade darin. Und das war schon richtig, denn jedes Mal wenn die Kinder in ihr Versteck in die Eiche hinunterkamen, standen drei Flaschen Limonade da und warteten auf sie. Thomas und Annika begriffen nicht, wo die leeren Flaschen hinterher blieben, aber Pippi sagte, dass sie verwelkten, sobald man sie ausgetrunken hatte. Ja, es war ein merkwürdiger Baum, das fanden beide, Thomas und Annika. Mitunter wuchsen auch Schokoladentafeln dort, aber nur donnerstags, sagte Pippi, und Thomas und Annika passten gut auf, dass sie nicht versäumten, jeden Donnerstag hinzugehen und Schokoladentafeln zu ernten. Pippi sagte, wenn man sich nur die Zeit nähme, den Baum fleißig zu gießen, dann könnte man ihn sicher dazu bringen, dass Weißbrot in ihm wüchse und sogar etwas Kalbsbraten. Wenn Regenwetter war, blieben sie im Haus, und das war auch nicht langweilig. Entweder sahen sie all die hübschen Sachen an, die Pippi in ihren Schubladen hatte, oder sie saßen vorm Herd und sahen zu, wie Pippi Waffeln backte oder Äpfel briet. Oder sie konnten auch in die Brennholzkiste kriechen und Pippi zuhören, wenn sie spannende Geschichten aus der Zeit erzählte, als sie auf dem Meer gesegelt war. „Es war jammervoll, wie es stürmte"", konnte Pippi sagen.";ja;de
Pippi Langstrumpf;;2;Astrid Lindgren;1987;Fiktion;Kinderbuch/Jugendliteratur;"sie hatten in aller Eile auch zwei kleine Bambusstühle für Thomas und Annika zusammengetischlert. Das Getöse der Trommeln wurde immer lauter, als König Efraim mit großer Würde auf seinem Thron Platz nahm. Er hatte nicht mehr seinen Kordanzug an, sondern ein königliches Gewand: eine Krone auf dem Kopf, einen Bastrock um den Leib, eine Kette von Haifischzähnen um den Hals und dicke Ringe um die Fußgelenke. Pippi setzte sich unbeschwert auf ihren Thron. Sie hatte den glei- chen kleinen Schurz um den Bauch, aber sie hatte sich einige rote und weiße Blüten ins Haar gesteckt, um etwas feiner auszusehen. Das hatte Annika auch getan. Aber Thomas nicht. Ihn konnte nichts dazu bewegen, sich Blumen ins Haar zu stecken. König Efraim hatte ja längere Zeit die Regierungsgeschäfte nicht geführt und er begann nun, mit aller Kraft zu regieren. Unterdes- sen näherten sich die kleinen schwarzen Taka-Tuka-Kinder Pippis Thron. Aus irgendeinem unbegreiflichen Grund bildeten sie sich ein, dass weiße Haut viel feiner sei als schwarze, und deshalb waren sie voller Ehrfurcht, je näher sie an Pippi und Thomas und Annika herankamen. Pippi war ja außerdem Prinzessin. Als sie ganz nah an Pippi herangekommen waren, warfen sie sich alle zu gleicher Zeit vor ihr auf die Knie und senkten die Stirnen auf die Erde. Pippi schoss schnell vom Thron herunter. ""Was seh ich?"", fragte sie. ""Spielt ihr hier auch Sachensucher? Ich spiel mit!"" Sie legte sich auf die Knie und schnüffelte auf der Erde herum. ""Es scheint, als ob schon andere Sachensucher vor uns hier gewesen sind"", sagte sie nach einer Weile. ""Hier ist nicht mal eine Stecknadel zu sehen, das kann ich euch versichern.";ja;de
Die Penderwicks am Meer;;3;Jeanne Birdsall;2012;Abenteuer;Kinderbuch/Jugendliteratur;»Ich weiß.« Skye holte für Asimov ein Stück Käse aus dem Kühlschrank. Sie konnte einfach nicht anders. Sie würde ihn vermissen. »Ich hab im Auto nachgeschaut. Ich glaube, es ist alles drin.« »Alles außer dem Essen und uns. Bist du bereit?« Skye strich Asimov ein letztes Mal über den Kopf. »So bereit wie möglich. Ich hole die anderen.« Ihr Ziel in Maine war Point Mouette, eine schmale Halbinsel, die in den Atlantik ragte. Um dorthin zu gelangen, mussten sie erst den Staat Massachusetts und dann noch einen Zipfel von New Hampshire durchqueren und schließlich hundert Meilen an der Küste entlang bis nach Maine hochfahren. Die Fahrt war zu lang, um nicht müde und brummig zu werden. Außerdem gab es ein paar Vor- fälle, die jedermanns Geduld auf die Probe gestellt hätten. Zum Beispiel, als sich Hound an einer Raststätte in einen Pudel namens Penelope verliebte und erst dann zum Auf- bruch bereit war, als er ein halbes Erdnussmus-Marmela- den-Sandwich bekam. Oder als Batty plötzlich meinte, Fanti, den blauen Elefanten, zu Hause gelassen zu haben, und sich so aufregte, dass Tante Claire auf der Schnell- straße an die Seite fahren musste, damit sie gründlich nach ihm suchen konnten. Sie fanden ihn schließlich in einer Schachtel, wo er sich mit einem Fußball und einer großen aufblasbaren Ente versteckt hielt. Aber Schlimmeres geschah nicht und ehe sie sich's versahen, entdeckte Skye das Schild, auf dem NACH POINT MOUETTE stand, und sie fuhren von der Schnellstraße ab und auf die Halb-;nein;de
Die Penderwicks am Meer;;3;Jeanne Birdsall;2012;Abenteuer;Kinderbuch/Jugendliteratur;»Dann nehme ich Satchel nicht.« Jane rührte den Teig noch ein letztes Mal. »Lass uns einen Pfannkuchen machen.« Auf der Packung stand, man sollte pro Pfannkuchen nur eine Vierteltasse Teig nehmen. Jane stellte fest, dass es schwieriger war, Teig aus einem Kaffeebecher in eine heiße Pfanne zu gießen, als es aussah, was dazu führte, dass eine Menge Teig auf dem Herd und dem Fußboden landete. Aber das Zischen zu hören, als der Teig den heißen Pfannenboden traf, und zuzusehen, wie sich der Teig fast von selbst in einen runden Pfannkuchen verwandelte, war äußerst befriedigend. »Sobald sich Blasen bilden, sollen wir den Pfannku- chen wenden«, sagte Jane zu Batty und überlegte sich ernsthaft, ob sie nicht vielleicht Köchin werden sollte, falls sie als Schriftstellerin scheiterte, was immerhin möglich war, wenn sie mit dem neuen Buch auch weiter- hin nicht vorankam. »Und nimm auf keinen Fall Hamish für dein Buch«, sagte Batty. »Hamish küsst immer alle.« »Du meinst dich zum Beispiel?« »Mich nicht. Ich kann schneller laufen als er.« Batty zeigte auf die Pfanne. »Blasen.« Aufgeregt schob Jane den Bratenwender unter den Pfannkuchen, hob ihn hoch und drehte ihn um. Er war ungleichmäßig braun, aber trotzdem ein richtiger Pfann- kuchen. »Wir haben's geschafft!«, sagte sie und umarmte Batty. »Nur noch dreiundzwanzig mehr!«;nein;de
Die Penderwicks am Meer;;3;Jeanne Birdsall;2012;Abenteuer;Kinderbuch/Jugendliteratur;Dreiviertel- und Viervierteltakt. Und sogar mit der Synkopierung. Außerdem hatte Turron die Idee, dass Batty und Jeffrey am letzten Abend ihrer Ferien ein Konzert geben sollten, auch wenn er selbst nicht mehr dabei sein konnte. Bald hatten Jeffrey und Alec das perfekte Lied dafür gewählt und fingen an, das Ganze zu arrangieren. Batty war mit Begeisterung dabei, aber sie erzählte keinem in ihrer Familie, was sie machte, nicht Tante Claire oder Jane und nicht einmal Rosalind, als sie anrief, aber vor allem nicht Skye. Sie erzählte es nur ihrer neuen Freundin Mercedes, weil Mercedes nie sagen würde, Batty sei noch zu klein dafür oder sie könne keine Musikerin werden, weil die Penderwicks noch nie welche waren. Mercedes sagte nur, sie würde auch gern Klavierspielen lernen. Also empfahl Batty ihr, sich an den Feuergott zu wenden. Aber als sie sich nicht mehr an Janes Spruch erinnern konnte, gab Mercedes ihren Wunsch auf und versuchte lieber, wieder Fahrrad zu fahren, ohne herunterzufallen. Als zukünftige und gegenwärtige, wenn auch vorüber- gehend blockierte, Autorin großer Romane konnte Jane wenigstens ein kleines bisschen an einen Feuergott glauben, der Wünsche erfüllte. Vielleicht hatte sie ja sogar Recht, denn an den Tagen, an denen auf magische Weise kein Klavier auftauchte, ging ihr eigener Wunsch sehr wohl in Erfüllung. Ihr Wunsch? Endlich genug Material für ihr Sabrina-Starr-Buch zusammenzubekommen. Sie hatte dem Feuergott keinen Tipp gegeben, wie das geschehen könnte, aber er war schließlich kein Dummkopf. Er wählte den direktesten Weg - er sorgte dafür, dass sie;nein;de
Hinter verzauberten Fenstern;Eine geheimnissvolle Adventsgeschichte;4;Cornelia Funke;2003;Fantasy;Kinderbuch/Jugendliteratur;die Kante an. Keine Frage. Da passte nicht mal das klitzekleinste Schokoladentäfelchen rein. So, der ist für dich«, sagte Mama. Strahlend nahm Olli den dicken, fetten Schokoladenkalender entgegen. Sie hatte es gewusst. Schon als Mama den komischen Kalender auf den Tisch gelegt hatte. Julia kniff die Lippen zusammen und warf ihrer Mutter den finstersten Blick zu, den sie zustande brachte. »Und der hier ist für dich, Julia«, sagte Mama und lächelte dabei auch noch stolz. »Das ist ja überhaupt kein Schokoladenkalender«, sagte Julia und verschränkte die Hände hinter dem Rücken. »Den will ich nicht.« Ihre Mutter guckte furchtbar enttäuscht. »Aber ich dachte ...«, sie hob ratlos die Augenbrauen, »ich dachte, du bist jetzt schon zu groß für diese ...« »Ich bin doch erst neun!«, sagte Julia empört und warf dem kleinen Bruder einen hasserfüllten Blick zu. Aber der strahlte sowieso bloß seinen Schokoladenkalender an. »Ach, Julia«, sagte Mama tröstend und strich ihr übers Haar, »ich wollte dir doch eine Freude machen, ich ...« »Ich wollte aber einen Schokoladenkalender«, sagte Julia und starrte auf ihre Füße. »Er hat ja auch einen gekriegt!« »Olli ist ja auch kleiner als du, und außerdem -, ach was!« ;nein;de
