Titel,Untertitel,Author_id,Author,Pubikationsjahr,Schlagwort,Genre,Textausschnitt,Textausschnitt online kostenfrei verfügbar,Sprache
Pippi Langstrumpf,,2,Astrid Lindgren,1987,Fiktion,Kinderbuch/Jugendliteratur,"Als nun alle ihre Geburtstagsgeschenke bekommen hatten, war es Zeit, zu Tisch zu gehen. Auf dem Tisch waren eine Menge Kuchen und Milchbrötchen. Die Kuchen hatten eine sehr merkwürdige Form, aber Pippi behauptete, in China gäbe es solche Kuchen. Pipi goss Schokolade mit Schlagsahne in die Tassen, und nun sollte man sich setzen. Aber da sagte Thomas:  ""Wenn Mama und Papa eine Gesellschaft haben, bekommen die Herren immer eine Karte, auf der steht, welche Dame sie zu Tisch führen sollen. Ich finde, das sollten wir auch machen."" „Meinetwegen"", sagte Pippi. „Obwohl es ja schlecht geht bei uns, weil ich doch der einzige Herr bin"", sagte Thomas unschlüssig. „Ach Unsinn"", sagte Pippi. „Glaubst du vielleicht, Herr Nilsson ist ein Fräulein?"" „Nein, natürlich nicht, ich hab ja Herrn Nilsson vergessen"", sagte Thomas. Und er setzte sich auf die Holzkiste und schrieb auf eine eine Karte: „Herr Settergren wird gebeten, Fräulein Langstrumpf zu Tisch zu führen."" „Herr Settergren, das bin ich"", sagte er zufrieden und zeigte Pippi die Karte. Dann schrieb er auf die andere Karte: „Herr Nilsson wird gebeten, Fräulein Settergren zu Tisch zu führen. „Ja, aber das Pferd muss auch eine Karte haben"", sagte Pippi bestimmt. „Auch wenn es nicht mit am Tisch sitzen kann."" Und Thomas schrieb nach Pippis Diktat auf die nächste „Das Pferd wird gebeten, in der Ecke stehen zu bleiben. Dann kriegt es Kuchen und Zucker."" ",ja,de
Pippi Langstrumpf,,2,Astrid Lindgren,1987,Fiktion,Kinderbuch/Jugendliteratur,"sie hatten in aller Eile auch zwei kleine Bambusstühle für Thomas und Annika zusammengetischlert. Das Getöse der Trommeln wurde immer lauter, als König Efraim mit großer Würde auf seinem Thron Platz nahm. Er hatte nicht mehr seinen Kordanzug an, sondern ein königliches Gewand: eine Krone auf dem Kopf, einen Bastrock um den Leib, eine Kette von Haifischzähnen um den Hals und dicke Ringe um die Fußgelenke. Pippi setzte sich unbeschwert auf ihren Thron. Sie hatte den glei- chen kleinen Schurz um den Bauch, aber sie hatte sich einige rote und weiße Blüten ins Haar gesteckt, um etwas feiner auszusehen. Das hatte Annika auch getan. Aber Thomas nicht. Ihn konnte nichts dazu bewegen, sich Blumen ins Haar zu stecken. König Efraim hatte ja längere Zeit die Regierungsgeschäfte nicht geführt und er begann nun, mit aller Kraft zu regieren. Unterdes- sen näherten sich die kleinen schwarzen Taka-Tuka-Kinder Pippis Thron. Aus irgendeinem unbegreiflichen Grund bildeten sie sich ein, dass weiße Haut viel feiner sei als schwarze, und deshalb waren sie voller Ehrfurcht, je näher sie an Pippi und Thomas und Annika herankamen. Pippi war ja außerdem Prinzessin. Als sie ganz nah an Pippi herangekommen waren, warfen sie sich alle zu gleicher Zeit vor ihr auf die Knie und senkten die Stirnen auf die Erde. Pippi schoss schnell vom Thron herunter. ""Was seh ich?"", fragte sie. ""Spielt ihr hier auch Sachensucher? Ich spiel mit!"" Sie legte sich auf die Knie und schnüffelte auf der Erde herum. ""Es scheint, als ob schon andere Sachensucher vor uns hier gewesen sind"", sagte sie nach einer Weile. ""Hier ist nicht mal eine Stecknadel zu sehen, das kann ich euch versichern.",ja,de
Wir Kinder aus Bullerbü,,2,Astrid Lindgren,1988,Abenteuer,Kinderbuch/Jugendliteratur,"Als wir über die Hand des Toten Mannes kletterten, fror ich ein wenig, denn er war so spannend, Mama hätte die Hand des toten Mannes nicht sehen dürfen, sie hätte uns dann sicher nie zum Felsengebirge fahren lassen. Lasse guchte in die Tiefe und sagte: ""Alle, die die Absicht haben hinunterzufallen, heben einen Arm oder einen Fuß hoch!"" Aber wir konnten wirklich keine Arme oder Füße hochheben. Wir brachten sie, um uns damit festzuklammern. Es fiel niemand hinunter. Und danach waren wir bald im Donnerloch. Dicht neben dem Donnerloch liegt eine hübsche Lichtung im Wald. Dort packten wir unser Essen aus. Auf Ausflügen wird man immer gleich hungrig. Und wir fanden alle, es sei besser, sofort zu essen. Wir hatten Eierpfannkuchen mit Fruchtgelee mitbekommen. Hundert Pfannkuchen, glaube ich. Und Milch und Saft und Butterbrote und Kuchen. Ole hatte Fischklöße. Sechs Fischklöße. Wir sollten jeder einen davon haben. Aber wir konnten doch nicht noch kalte Fischklöße essen, wenn wir so viele Eierpfannkuchen hatten. Inga und Britta hatten Brezeln, die ihre Mana immer backt und die unglaublich gut schmecken. Wir durften alle von den Brezeln kosten. Zuletzt war nur noch eine Brezel übrig und die wollte Bosse sehr, sehr gern haben. Denn er liebt Gebäck über alles. Ole war etwas verärgert, weil keiner seine Fischklöße essen wollte. Und Britta tat er wohl ein bisschen Leid, denn sie sagte: ""Bosse, du bekommst die letzte Brezel - aber du musst zuerst Oles Fischklöße aufessen."" Und sie hielt ihm die Brezel hin.  ",ja,de
Wir Kinder aus Bullerbü,,2,Astrid Lindgren,1988,Abenteuer,Kinderbuch/Jugendliteratur,"Wir schlafen in der Nacht im Wald und stehen ganz, ganz früh am nächsten Morgen auf, um in den Käfigen nachzusehen. Das ist das Schönste von allem — dass wir im Wald schlafen dürfen. Weil der Nocken so weit von Bullerbü entfernt ist und und der Weg so mühsam ist, lohnt es sich nicht, für einige Stunden nach Hause zu gehen, um noch ein bisschen zu schlafen, sagt Papa. Welch ein n Glück, da der Nocken so tief im Wald liegt! Sonst würde Mama sicher wollen, dass wir nach Hause kommen und in unseren Betten schlafen. »Ich habe Angst, dass die Kinder sich erkälten«, sagt Mama jedes Jahr wieder. »Ach was«, sagt Papa dann nur. Das sagte er auch dieses Jahr. Und nachdem er das gesagt hatte, gingen wir. Man muss über zwei Stunden durch den Wald zum Nocken gehen, und es ist nur ein schmaler, kleiner Pfad, der sich dorthin schlängelt. Wir hatten viel zu tragen: Krebskäfige und Decken und Rucksäcke mit allen möglichen Sachen darin. Aber es ist zwecklos zu jammern, wenn man müde wird, denn dann sagt Papa, wer jammert, darf nicht mit, um Krebse zu fangen und im Wald zu schlafen. Sobald wir an den See kamen, liefen wir los und sahen nach, ob noch etwas von unseren Hütten übrig war, die wir im vergangenen Jahr gebaut hatten. Aber es waren nur noch einige vertrocknete Wacholderbüsche und Äste übrig, die wir sofort wegräumten.  Britta und Inga und ich haben unsere Hütte unter einer großen Tanne. Ihre Zweige hängen fast bis auf den Boden herunter. ",ja,de
Die Brüder Löwenherz,,2,Astrid Lindgren,1973,Fantasy,Kinderbuch/Jugendliteratur,"Sophia hatte versprochen mir am nächsten Tag Suppe zu bringen, doch dann würde ich schon weit fort sein. Die arme Sophia, nun musste sie ihre Suppe selber essen! Aber ich durfte sie nicht im Ungewissen darüber lassen, wo ich war. Erfahren musste sie es, allerdings erst, wenn es zu spät war. Zu spät, um mich zurückzuhalten. Ich nahm ein Stück Kohle aus dem Herd und schrieb mit großen, schwarzen Buchstaben an die Küchenwand: »Jemand rief nach mir im Traum, ihn suche ich in der Ferne hinter den Bergen.« rätselhaft schrieb ich, weil ich dachte: Kommt ein anderer als Sophia auf den Reiterhof, einer, der nur schnüffeln will, dann versteht er diese Worte nicht. Vielleicht glaubt er, ich hätte versucht so was wie ein Gedicht zu machen. Sophia aber würde sofort verstehen, was ich damit sagen wollte: Ich bin fort, auf der Suche nach Jonathan! Ich war froh und zum ersten Mal kam ich mir tapfer und stark vor. Ich sang vor mich hin: ""Jemand rief nach mir im Traum, ihn suche ich in der Ferne hinter den Be-e-e-ergen.« Wie gut es klang! Das werde ich Jonathan erzählen, wenn ich ihn finde, dachte ich.  Falls ich ihn finde, dachte ich dann. Aber wenn nicht... Und da verflog mein ganzer Mut mit einem Mal. Ich wurde wieder ein Häuflein Dreck. Ein kleines ängstliches Häuflein, was ich immer gewesen war. Und wie immer sehnte ich mich  danach, bei Fjalar zu sein. Ich musste sofort zu ihm.  ",ja,de
Die Brüder Löwenherz,,2,Astrid Lindgren,1973,Fantasy,Kinderbuch/Jugendliteratur,"Schließlich sagte er: »Hier ist er nicht. Ich muss ihn in der Höhle verloren haben.« Und mit Donnergepolter schnappte die Mausefalle wieder zu, gefangen genommen wurde. Veder kam in die Grotte, um nach seinem verflixten Feuerstein zu suchen, und stieß direkt auf Fialar. Ich weiß, dass man nicht lügen soll, aber wenn es ums Leben geht, dann muss man es. Er hatte übrigens harte Fäuste, dieser Veder, noch nie hatte mich einer so unsanft angepackt. Es tat weh und ich wurde wütend, seltsamerweise war meine Wut größer als meine Furcht. Vielleicht log ich deshalb gut. »Wie lange spionierst du hier schon herum?«, brüllte er, nachdem er mich aus der Höhle gezerrt hatte. »Seit gestern Abend. Aber ich habe nur geschlafen«, sagte ich und blinzelte im Morgenlicht, als sei ich gerade aufgewacht. »Geschlafen«, sagte Veder. »Willst du mir weismachen, du hättest nichts gehört? Nicht gehört, wie wir hier am Lagerfeuer gegrölt und gesungen haben? Keine Lüge jetzt'« Das glaubte er sich listig ausgedacht zu haben, denn sie hatten ja keinen Ton gesungen. Aber ich war noch listiger. »Doch, kann sein, ein bisschen habe ich gehört, wie ihr gesungen habt«, stotterte ich, so als löge ich, nur um es ihm recht zu machen. Veder und Kader sahen sich an, jetzt waren sie ganz sicher, dass ich wirklich geschlafen und nichts gehört hatte. Doch das half mir auch nicht viel weiter. ",ja,de
Karlsson vom Dach,,2,Astrid Lindgren,1990,Fiktion,Kinderbuch/Jugendliteratur,">>Kannst du nicht deine Mama bitten, ob du stattdessen acht Torten und ein Licht haben kannst?<< Lillebror glaubte nicht, dass sich Mama darauf einlassen würde. >> Kriegst du denn ein paar gute Geschenke?«, fragte Karlsson. »Das weiß ich nicht«, sagte Lillebror. Er seufzte. Natürlich wusste er, was er sich wünschte - mehr als irgendet- was anderes auf der Welt. Aber das würde er nicht bekommen. >>Einen Hund krieg ich wohl in meinem ganzen Leben nicht«, sagte er. »Aber ich bekomme natürlich eine Menge anderer Geschenke. Ich muss also froh sein und darf nicht den ganzen Tag an einen Hund denken. Das hab ich mir vorgenommen.<< »Nee, und dann hast du ja mich«, sagte Karlsson. »Und ich sollte das haut 'n bisschen mehr hin als ein Hund!«< Er legte den Kopf schief und schaute Lillebror an. >>Ich möchte mal wissen, was für Geschenke du kriegst«, sagte er. »Ich möchte wissen, ob du Bonbons kriegst! In dem Fall, finde ich, sollten unmittelbar wohltätigen Zwecken zugeführt werden.<<  »Ja, wenn ich eine Tüte Bonbons bekomme, dann sollst du sie haben«, sagte Lillebror. Für Karlsson konnte er alles tun und jetzt mussten sie sich ja außerdem trennen. »Karlsson, übermorgen fahre ich zu Großmutter und bleibe den ganzen Sommer dort« sagte Lillebror. Karlsson sah erst etwas verdrießlich aus, aber dann sagte er wichtigtuerisch: »Ich fahre auch zu meiner Großmutter. Sie ist viel großmuttriger als deine.<< >>Wo wohnt sie, deine Großmutter?«, fragte Lillebror. >>In einem Haus«, antwortete Karlsson. »Dachtest du, sie rennt die ganzen Nächte draußen rum?« Danach wurde nicht mehr viel von Karlssons Großmutter oder Lillebrors Geburtstagsgeschenken oder sonst was geredet, denn es war spät geworden und Lillebror musste ins Bett, damit er an seinem Geburtstag rechtzeitig wach sein konnte.",ja,de
Immer dieser Michel,,2,Astrid Lindgren,1978,Abenteuer,Kinderbuch/Jugendliteratur,"»Sieben Kühe!<< schrie sie Michels Papa zu. »Wer ist hier verrückt geworden, du oder ich?«<»Nä, de Koh«, murmelte Michels Papa in reinstem Småländisch. Aber es war noch mehr Gemurmel nötig, bevor Michels Mama endlich begriffen hatte, wie alles zusammenhing. Da sah sie Michel liebevoll an. »Gott segne dich, Michel! Aber wie um alles in der Welt konntest du wissen, daß mein Brotschieber vorhin kaputtgegangen ist, als ich die Brotlaibe in den Ofen schieben wollte?<< Dann schrie sie auf, denn jetzt bemerkte sie Alfreds Nase, und die war doppelt so groß wie sonst. >>Um Himmels willen, wo bist du mit der Nase gewesen?<< fragte Michels Mama. »Auf der Auktion auf Backhorva«, sagte Alfred. »Und nächsten Samstag geht's mit ihr nach Knashult.<<Lina kletterte düster und verdrossen vom Milchwagen. Was sie anging, so war es vorbei mit all dem Gekicher und Geschäker. >>Wie sauer du aussiehst«, sagte Michels Mama. >>Was ist los mit dir?<< >> Zahnschmerzen«<, sagte Lina kurz. Der Krakstorper hatte ihr ununterbrochen Bonbons angeboten, und deshalb tat jetzt ihr kaputter Backenzahn so weh, daß ihr fast der Schädel platzte. Aber Zahnschmerzen oder nicht, sie mußte auf die Weide und das sofort, um die Katthultkühe zu melken, denn es war schon lange über die Melkzeit hinaus. Lange über die Melkzeit hinaus war es auch für Rölla und die anderen Auktionskühe, und sie muhten laut, um daran zu erinnern. >>Ich kann doch nichts dafür, daß der Bastefaller nicht hier ist, um seine alten Kühe zu melken«, sagte Michel und machte sich daran, sie selbst zu melken. Zuerst Rölla und danach die sechs anderen Kühe. Dreißig Liter Milch bekam er zusammen, die seine Mama in den Keller stellte. Bei Gelegenheit wollte sie Käse daraus machen. Es wurde ein großer prächtiger Käse für Michel, und er hatte lange seine Freude daran. ",ja,de
Meister Detektiv Blomquist,Kalle Blomquist,2,Astrid Lindgren,1950,Krimi,Kinderbuch/Jugendliteratur,"Eva-Lotte und Anders sahen ihn erstaunt an. ""Genau wie ein Pfadfinder, immer bereit"", sagte Onkel Einar. Kalle nahm den Brief und ging los. Sobald er außer Sehweite war, sah er auf die Adresse. „Fräulein Lola Hellberg, Stockholm, p. r."", stand da. „P. r."" bedeutete „poste restante"", das heißt: der Adres- sat sollte selbst den Brief von der Post holen, das wußte Kalle. „Dunkel"", dachte er.,,Warum kann er nicht an ihre rich- tige Adresse schreiben?"" Er holte ein Notizbuch aus seiner Hosentasche und schlug es auf. „Verzeichnis über verdächtige Personen"" stand oben auf der einen Seite. Das Verzeichnis hatte früher eine ansehn- liche Zahl von Personen umfaßt. Aber Kalle hatte sich trau- ernden Herzens genötigt gesehen, eine nach der anderen zu streichen, nachdem es ihm nicht gelungen war, etwas Ver- brecherisches bei ihnen festzustellen. Im Augenblick gab es daher nur eine Person auf der Liste, und das war Onkel Einar. Sein Name war rot unterstrichen, und darunter stand sehr genau seine Personalbeschreibung. Danach kam eine neue Rubrik: „Besonders verdächtige Umstände"". „Besitzt Dietrich und Taschenlampe"", stand da. Allerdings besaß Kalle selbst eine Taschenlampe, aber das war eine ganz an- dere Sache. Mit einiger Mühe fischte er einen Bleistiftstummel aus seiner Tasche, und mit einem Brett als Unterlage schrieb er folgenden Zusatz in sein Notizbuch: "", Korrespondiert mit Fräulein Lola Hellberg, Stockholm, p. r.""",ja,de
Hinter verzauberten Fenstern,Eine geheimnissvolle Adventsgeschichte,4,Cornelia Funke,2003,Fantasy,Kinderbuch/Jugendliteratur,"»Ich bin ganz platt!«, sagte Julia. »Ich weiß überhaupt nicht, was ich sagen soll. Ein Fest nur für mich?«< »Ja!« Jakobus lächelte stolz. »Allerdings wirst du dafür hinter den nächsten Fenstern nur zugezogene Gardinen zu sehen kriegen. Schließlich müssen wir alles vorbereiten. Aber am Nikolausabend kommst du zu mir, und wir gehen zusammen runter. Einverstanden?« »Einverstanden!« Julia strahlte. »Ach, ich kann es jetzt schon kaum noch erwarten. Ich -«, plötzlich wurde sie starr vor Schreck und blickte in ihr Zimmer. »O nein!« Ihre Tür war aufgegangen, und hereinspaziert kam -wer wohl - Olli natürlich. Überrascht sah er auf ihr leeres Bett. »Oh, wer ist das denn?«, fragte Jakobus neugierig. »Mein Bruder!« Julia sprang auf. Olli sah unter ihr Bett und hinter die Tür. Dann stürzte er aus dem Zimmer. »Ich muss schnell zurück!« Hastig lief sie zu dem offenen Kalenderfenster. »Sonst kriege ich Ärger!« »Wieso Ärger?«, fragte Jakobus verdutzt. »Das erklär ich dir ein anderes Mal.« Julia trat unruhig von einem Fuß auf den anderen.",nein,de
